agent,timestep,location,x,y,orientation
0,88,265,25,8,-1
0,89,235,25,7,-1
1,85,214,4,7,-1
1,86,244,4,8,-1
1,87,274,4,9,-1
1,88,304,4,10,-1
1,89,334,4,11,-1
2,85,138,18,4,-1
2,86,137,17,4,-1
2,87,136,16,4,-1
2,88,135,15,4,-1
2,89,134,14,4,-1
3,85,800,20,26,-1
3,86,799,19,26,-1
3,87,798,18,26,-1
3,88,797,17,26,-1
3,89,796,16,26,-1
4,85,619,19,20,-1
4,86,618,18,20,-1
4,87,648,18,21,-1
4,88,678,18,22,-1
4,89,708,18,23,-1
0,90,205,25,6,-1
0,91,175,25,5,-1
0,92,145,25,4,-1
0,93,175,25,5,-1
0,94,205,25,6,-1
1,90,364,4,12,-1
1,91,394,4,13,-1
1,92,424,4,14,-1
1,93,454,4,15,-1
1,94,424,4,14,-1
2,90,133,13,4,-1
2,91,132,12,4,-1
2,92,131,11,4,-1
2,93,130,10,4,-1
2,94,129,9,4,-1
3,90,766,16,25,-1
3,91,765,15,25,-1
3,92,764,14,25,-1
3,93,763,13,25,-1
3,94,762,12,25,-1
4,90,738,18,24,-1
4,91,768,18,25,-1
4,92,767,17,25,-1
4,93,766,16,25,-1
4,94,765,15,25,-1
0,95,235,25,7,-1
0,96,265,25,8,-1
0,97,295,25,9,-1
0,98,325,25,10,-1
0,99,355,25,11,-1
1,95,394,4,13,-1
1,96,364,4,12,-1
1,97,334,4,11,-1
1,98,304,4,10,-1
1,99,274,4,9,-1
2,95,128,8,4,-1
2,96,127,7,4,-1
2,97,126,6,4,-1
2,98,125,5,4,-1
2,99,124,4,4,-1
3,95,761,11,25,-1
3,96,760,10,25,-1
3,97,759,9,25,-1
3,98,758,8,25,-1
3,99,757,7,25,-1
4,95,764,14,25,-1
4,96,763,13,25,-1
4,97,762,12,25,-1
4,98,761,11,25,-1
4,99,760,10,25,-1
0,100,385,25,12,-1
0,101,415,25,13,-1
0,102,445,25,14,-1
0,103,475,25,15,-1
0,104,445,25,14,-1
1,100,244,4,8,-1
1,101,214,4,7,-1
1,102,215,5,7,-1
1,103,214,4,7,-1
1,104,184,4,6,-1
2,100,154,4,5,-1
2,101,184,4,6,-1
2,102,214,4,7,-1
2,103,244,4,8,-1
2,104,274,4,9,-1
3,100,756,6,25,-1
3,101,755,5,25,-1
3,102,754,4,25,-1
3,103,724,4,24,-1
3,104,694,4,23,-1
4,100,759,9,25,-1
4,101,758,8,25,-1
4,102,757,7,25,-1
4,103,756,6,25,-1
4,104,755,5,25,-1
0,105,415,25,13,-1
0,106,385,25,12,-1
0,107,355,25,11,-1
0,108,325,25,10,-1
0,109,295,25,9,-1
1,105,154,4,5,-1
1,106,124,4,4,-1
1,107,154,4,5,-1
1,108,184,4,6,-1
1,109,214,4,7,-1
2,105,304,4,10,-1
2,106,334,4,11,-1
2,107,364,4,12,-1
2,108,394,4,13,-1
2,109,424,4,14,-1
3,105,664,4,22,-1
3,106,634,4,21,-1
3,107,604,4,20,-1
3,108,574,4,19,-1
3,109,544,4,18,-1
4,105,754,4,25,-1
4,106,724,4,24,-1
4,107,694,4,23,-1
4,108,664,4,22,-1
4,109,634,4,21,-1
0,110,265,25,8,-1
0,111,235,25,7,-1
0,112,205,25,6,-1
0,113,175,25,5,-1
0,114,145,25,4,-1
1,110,244,4,8,-1
1,111,274,4,9,-1
1,112,304,4,10,-1
1,113,334,4,11,-1
1,114,364,4,12,-1
2,110,454,4,15,-1
2,111,455,5,15,-1
2,112,485,5,16,-1
2,113,486,6,16,-1
2,114,487,7,16,-1
3,110,514,4,17,-1
3,111,484,4,16,-1
3,112,454,4,15,-1
3,113,424,4,14,-1
3,114,394,4,13,-1
4,110,604,4,20,-1
4,111,574,4,19,-1
4,112,544,4,18,-1
4,113,514,4,17,-1
4,114,484,4,16,-1
0,115,175,25,5,-1
0,116,205,25,6,-1
0,117,235,25,7,-1
0,118,265,25,8,-1
0,119,295,25,9,-1
1,115,365,5,12,-1
1,116,395,5,13,-1
1,117,425,5,14,-1
1,118,455,5,15,-1
1,119,485,5,16,-1
2,115,488,8,16,-1
2,116,489,9,16,-1
2,117,490,10,16,-1
2,118,491,11,16,-1
2,119,492,12,16,-1
3,115,364,4,12,-1
3,116,334,4,11,-1
3,117,304,4,10,-1
3,118,274,4,9,-1
3,119,244,4,8,-1
4,115,454,4,15,-1
4,116,484,4,16,-1
4,117,514,4,17,-1
4,118,544,4,18,-1
4,119,543,3,18,-1
0,120,325,25,10,-1
0,121,355,25,11,-1
0,122,385,25,12,-1
0,123,415,25,13,-1
0,124,445,25,14,-1
1,120,486,6,16,-1
1,121,487,7,16,-1
1,122,488,8,16,-1
1,123,489,9,16,-1
1,124,490,10,16,-1
2,120,493,13,16,-1
2,121,494,14,16,-1
2,122,495,15,16,-1
2,123,496,16,16,-1
2,124,526,16,17,-1
3,120,214,4,7,-1
3,121,184,4,6,-1
3,122,154,4,5,-1
3,123,124,4,4,-1
3,124,154,4,5,-1
4,120,573,3,19,-1
4,121,603,3,20,-1
4,122,633,3,21,-1
4,123,663,3,22,-1
4,124,693,3,23,-1
0,125,475,25,15,-1
0,126,505,25,16,-1
0,127,535,25,17,-1
0,128,565,25,18,-1
0,129,595,25,19,-1
1,125,491,11,16,-1
1,126,492,12,16,-1
1,127,493,13,16,-1
1,128,494,14,16,-1
1,129,495,15,16,-1
2,125,556,16,18,-1
2,126,586,16,19,-1
2,127,616,16,20,-1
2,128,646,16,21,-1
2,129,676,16,22,-1
3,125,184,4,6,-1
3,126,214,4,7,-1
3,127,244,4,8,-1
3,128,274,4,9,-1
3,129,304,4,10,-1
4,125,723,3,24,-1
4,126,753,3,25,-1
4,127,754,4,25,-1
4,128,724,4,24,-1
4,129,694,4,23,-1
0,130,625,25,20,-1
0,131,655,25,21,-1
0,132,685,25,22,-1
0,133,715,25,23,-1
0,134,745,25,24,-1
1,130,496,16,16,-1
1,131,497,17,16,-1
1,132,498,18,16,-1
1,133,499,19,16,-1
1,134,500,20,16,-1
2,130,706,16,23,-1
2,131,736,16,24,-1
2,132,766,16,25,-1
2,133,767,17,25,-1
2,134,768,18,25,-1
3,130,334,4,11,-1
3,131,364,4,12,-1
3,132,394,4,13,-1
3,133,424,4,14,-1
3,134,454,4,15,-1
4,130,664,4,22,-1
4,131,634,4,21,-1
4,132,604,4,20,-1
4,133,574,4,19,-1
4,134,544,4,18,-1
0,135,775,25,25,-1
0,136,805,25,26,-1
0,137,804,24,26,-1
0,138,803,23,26,-1
0,139,802,22,26,-1
1,135,501,21,16,-1
1,136,471,21,15,-1
1,137,472,22,15,-1
1,138,473,23,15,-1
1,139,474,24,15,-1
2,135,769,19,25,-1
2,136,770,20,25,-1
2,137,771,21,25,-1
2,138,772,22,25,-1
2,139,773,23,25,-1
3,135,424,4,14,-1
3,136,394,4,13,-1
3,137,364,4,12,-1
3,138,334,4,11,-1
3,139,304,4,10,-1
